"","GSP.NAME","NumFullyDe","NumPartDe","NumAct","Total"
"1","Aliso",5,1,1,8
"2","Alpaugh",1,1,2,7
"3","Anderson",9,3,9,49
"4","Antelope",11,3,2,21
"5","Bowman",10,1,7,45
"6","Buena Vista",1,1,3,23
"7","Butte",32,5,42,108
"8","Central Kings",28,1,10,57
"9","Chowchilla",13,1,2,34
"10","Colusa",95,16,62,318
"11","Corning",33,9,22,94
"12","Cosumnes",5,1,8,53
"13","Delano-Earlimart",4,4,2,35
"14","East Contra Costa",3,1,4,35
"15","East Kaweah",7,2,3,50
"16","East Tule",9,5,4,64
"17","Eastern San Joaquin",31,10,20,241
"18","Enterprise",2,1,7,31
"19","Farmers",1,1,1,3
"20","Fresno County",1,1,1,4
"21","Grassland",9,1,1,32
"22","Gravelly Ford",2,1,1,4
"23","Greater Kaweah",9,4,6,41
"24","Henry Miller",1,1,1,3
"25","James",9,1,1,17
"26","Kern Groundwater Authority",92,83,13,544
"27","Kern River",15,13,12,115
"28","Kings River East",11,2,11,34
"29","Los Molinos",21,5,8,37
"30","Lower Tule River",10,2,1,30
"31","Madera Subbasin Joint",23,7,3,71
"32","McMullin Area",14,1,1,27
"33","Merced",55,5,4,89
"34","Mid-Kaweah",7,6,1,25
"35","Modesto",2,8,34,199
"36","New Stone",1,1,1,1
"37","North American",2,3,17,202
"38","North Central Delta-Mendota",37,3,13,161
"39","North Fork Kings",21,5,7,62
"40","North Kings",25,5,14,129
"41","North Yuba",13,1,2,38
"42","Pixley",5,1,2,23
"43","Red Bluff",8,3,7,35
"44","Root Creek",3,0,0,3
"45","San Joaquin River Exchange Contractors",19,12,17,180
"46","Solano",2,1,15,118
"47","South American",1,1,25,128
"48","South Kings",2,1,5,14
"49","South Yuba",4,2,5,42
"50","Sutter",6,2,11,98
"51","Tracy",12,4,11,131
"52","Tri-County",2,1,1,10
"53","Tulare Lake",3,3,5,52
"54","Turlock",23,30,16,153
"55","Vina",45,10,18,92
"56","Westside",19,7,92,750
"57","White Wolf",2,2,2,22
"58","Wyandotte Creek",11,3,2,29
"59","Yolo",7,5,29,241
